Name,Phone,Rating,Rating Count,Address
Young Man & Company,+(91)-9152311377,4.0,44,"Shop No. 888-890, Main Road, Nai Sarak, Chandni Chowk, Delhi - 110006, Near Town Hall"
Bindal Gallery,+(91)-9152872001,3.7,17,"A-2/6, Noida Sector 110, Noida - 201305, Noida"
Kriti Creations Kritiwala,+(91)-124-4554968,3.5,2,"157,158 Good Earth City Centre, Sector 50, Gurgaon - 122001"
Kriti Creations,+(91)-9152586992,4.2,309,"110, Rajouri Garden, Delhi - 110027, Near Biba Showroom"
Craft Creations,+(91)-11-47537174,5.0,8,"Plot no-87, pocket -C-7, sec 7&8 dividing road, Rohini Sector 7, Delhi - 110085, Near Sai baba chowk"
Surprising Craft,+(91)-9899099997,5.0,4,"D Block, 176,, Kamla Nagar, Delhi - 110007, Nr- Brijwasi Sweet"
Delhi Haat.,+(91)-11-65871843,4.3,25,"55., Nehru Bazar., Panchkuian Road, Delhi - 110001, Metro Pillar No 6"
Camel Art Centre,+(91)-11-24332969,4.3,37,"Shop Number A - 263, Basement, Main Road, Bhisham Pitamah Marg, Defence Colony, Delhi - 110024, Near State Bank Of India"
Itsy Bitsy Pvt. Ltd.,+(91)-8826688637,4.2,138,"C 20, Ground Floor, Lajpat Nagar 2, Delhi - 110024, Near CCD"
Archies Gift Gallery,+(91)-9958710701,4.2,20,"Shop No-3-4, Crescent Square Mall, Rohini Sector 9, Delhi - 110085, D C Chowk"
Rama Stationery Mart,+(91)-11-29965979,4.2,15,"40 / 1361, Dda Flats, Madangir, Delhi - 110062, Near Sainik Farms"
The Craft Gallery,+(91)-120-4222646,4.2,21,"Shop Number 344, First Floor, Sector 61, Noida - 201307, Near Shopprix Mall"
Trends,+(91)-11-25170525,4.1,17,"2b/77, Ramesh Nagar, Delhi - 110015, Near Post Office"
Itsy Bitsy,+(91)-11-47513475,4.0,44,"QP-63, 0, Pitampura, Delhi - 110034, Near Gopal Mandir"
Rajesh Gifts & Stationers,+(91)-9818167672,4.0,19,"D-12/35, Rohini Sector 7, Delhi - 110085, Near Metro Pillar No-409"
Kashmir Government Arts Emp..,+(91)-11-23364723,4.0,90,"A-7, State Emphoria Complex, Baba Kharak Singh Marg, Connaught Place, Delhi - 110001"
Ganga Ram Amar Nath & Sons,+(91)-11-23675375,3.8,9,"5030, RUI Mandi, Sadar Bazar, Delhi - 110006, Nr West End Cinema"
Hamleys,+(91)-11-45613062,4.5,2,"Reliance Lifestyle Holdings Ltd, Unit No DA 01, IGI Airport, Delhi - 110037, Domestic Arrival, Baggage Belt Area, Terminal 3"
Novelty House,+(91)-11-23670966,3.3,8,"6071/B, Qutub Road Chowk, Sadar Bazar, Delhi - 110006, Bari Market"
Jindal Crafts,+(91)-9811152840,3.7,10,"D 963, 60 Feet Road, Chawla Colony, Ballabhgarh, Faridabad - 121004"
Geeta Variety Store,+(91)-9582065748,4.2,6,"50-A/9, Sec-7 naharpur, Rohini Sector 7, Delhi - 110085, Near pnb bank"
Gearup Online Retail Servic..,+(91)-9152896883,4.5,2,"CE-3, GROUND FLOOR, HARI NAGAR CLOCK TOWER NEW DELHI, Hari Nagar, Delhi - 110064, HARI NAGAR CLOCK TOWER"
Handicrafts & Handloom Expo..,+(91)-11-23701132,4.8,2,"1, Jawahar Vyapar Bhawan, Tolstoy Marg, New Delhi, Delhi - 110001"
Sehgal Craft,+(91)-9971128795,4.5,4,"Shop No -2, GD Market, Pitampura, Delhi - 110034, Near Pitampura Metro Station"
My Pet Hub,+(91)-9582123886,4.5,2,"12 E, 0, Dhaka Village, Delhi - 110009, Near Kingsway Camp"
Banaras handicraft,+(91)-9871291543,4.5,6,"4826., 6 khoti chowk, Pahar Ganj, Delhi - 110055, Main Bazar"
Saini Stone Kala Kendra And..,+(91)-9891198673,4.5,2,"Shop Number 3, Matta Road, Gurgaon - 122001, Near Lalit Marbles"
Mehra Bros,+(91)-11-24656477,4.5,2,"27-B,, Main Road, Khan Market, Delhi - 110003, Near By Bank Of India"
B D Handicrafts Emporium,+(91)-8750384843,3.8,5,"Shop Number- 5084, Pahar Ganj, Delhi - 110055, Opposite Anoop Hotel,Main Market"
